,Asset No,NAV_x,NAV_y
2623,534696,63805.37,58386.29
2624,534697,4452.98,4127.41
2625,544691,73089.24,68417.55
2626,544692,8493.08,7950.23
2627,549691,142964.38,139652.05
2628,549692,97547.42,90901.33
2629,549693,35342.47,33219.18
2630,549694,1484.38,1395.2
2631,549695,1484.38,1395.2
2632,549696,1661.11,1561.32
2633,549697,1661.11,1561.32
2634,549698,1661.11,1561.32
2635,549699,1661.11,1561.32
2636,549700,1661.11,1561.32
2637,549701,1661.11,1561.32
2638,549702,1661.11,1561.32
2639,549703,1661.11,1561.32
2640,549704,1661.11,1561.32
2641,549705,1661.11,1561.32
2642,549706,1661.11,1561.32
2643,549707,1661.11,1561.32
2644,549708,1661.11,1561.32
2645,549709,1661.11,1561.32
2646,549710,1661.11,1561.32
2647,549711,1661.11,1561.32
2648,549712,1661.11,1561.32
2649,549713,1661.11,1561.32
2650,549714,1661.11,1561.32
2651,549715,1661.11,1561.32
2652,552691,4665.25,4384.98
2653,558691,77530.99,72873.12
2654,558692,2191.26,2059.62
2655,558693,549.97,518.74
2656,558694,8750.96,8254.11
2657,558695,2286.24,2156.44
2658,558696,2286.24,2156.44
2659,558697,2286.24,2156.44
2660,558698,2286.24,2156.44
2661,558699,2286.24,2156.44
2662,558700,2286.24,2156.44
2663,558701,2286.24,2156.44
2664,558702,2286.24,2156.44
2665,559692,127232.85,119589.01
2666,574691,49525.12,47118.73
2667,574692,598942.78,573508.22
2668,574693,74579.03,70955.29
2669,574694,80398.93,76299.64
2670,574695,5921.78,5619.85
2671,574696,84141.83,80960.86
2672,574697,6059.83,5734.26
2673,574698,293148.23,277398.5
2674,574699,81148.84,76789.02
2675,580691,1860.36,1769.96
2676,580692,775614.21,817259.99
2677,580693,1169397.67,1126749.05
2678,580694,420318.04,403803.64
2679,580695,213591.35,205199.29
2680,580696,2359.71,2245.05
2681,580697,2359.71,2245.05
2682,580698,2359.71,2245.05
2683,580699,2359.71,2245.05
2684,588691,50484.31,48144.98
2685,590691,20274.02,19184.77
2686,590692,26792.25,25550.75
2687,601740,3319.47,3172.26
2688,601741,3319.47,3172.26
2689,601742,3319.47,3172.26
2690,601743,3319.47,3172.26
2691,601744,3319.47,3172.26
2692,601745,3319.47,3172.26
2693,601746,3319.47,3172.26
2694,601747,3319.47,3172.26
2695,601748,3319.47,3172.26
2696,601749,3319.47,3172.26
2697,601750,3319.47,3172.26
2698,601751,3319.47,3172.26
2699,601752,3319.47,3172.26
2700,601753,3319.47,3172.26
2701,601754,3319.47,3172.26
2702,601755,3319.47,3172.26
2703,602691,5953.33,5689.31
2704,602692,5953.33,5689.31
5244,4751,1328430.04,1324669.19
